root	deva	gana	voice	voice_attested	aupadeshika_guess	artha_guess	mw_meaning	attested	note	mw_id
amb	अम्ब्	1	P. Ā.	P. Ā.	amba~^	gatO	to go, : cl. 1. Ā. , to sound	ambati|ambate		14390
aMh	अंह्	1	Ā.	P.	aMha~\	gatO	to go, set out, commence	aMhayati	voice cp=Ā. vs attested=P.	107
and	अन्द्	1	P.	P.	anda~	banDane	to bind	andati		8399
aNg	अङ्ग्	1	P.	P.	aNga~	gatO	to go	aNgayati|aNk		1492
aNG	अङ्घ्	1	Ā.		aNGa~\	gatO	to go, set out, set about, commence			1752
aNk	अङ्क्	1	Ā.	P.	aNka~\	gatO	to move in a curve	aNkayati	voice cp=Ā. vs attested=P.	1408
ant	अन्त्	1	P.	P.	anta~	banDane	to bind, (cf. √ , .)	antati|and|Int		7900
anUnnI	अनून्नी	1	P.		anUnnI	grahaRe	to take out and fill after another,;	-nayati		7739
anviz	अन्विष्	1	P.	P.	anviza~		to desire, seek, seek after, search, aim at, &c.: cl. 4. P. id., &c., Caus. id.,	-icCati|-izyati|-ezayati		8906
arG	अर्घ्	1	P.		arGa~		to be worth, be of value	arh		15682.1
arT	अर्थ्	1	Ā.	Ā.	arTa~\	prayatne	rarely cl. 1. Ā. (1. pl. , ) to strive to obtain, desire, wish, request, ask for	arTAmahe		15839
aRW	अण्ठ्	1	Ā.	Ā.	aRWa~\	gatO	to go, move, tend	aRWate|AnaRWe|aRWitum		2447
bamb	बम्ब्	1	P.	P.	bamba~	gatO	to go	bambati		142890
baMh	बंह्	1	Ā.	Ā.	baMha~\	vfdDO	to grow, increase	baMhayate|bahala|bahu|bahula		142296
band	बन्द्	1	P.	P.	banda~		or , to be firm or steady, (cf. √ ).	badati|bandati|pad|bad		142418.1
banD	बन्ध्	1	P. Ā.	P. Ā.	banDa~^	banDane	to bind, tie, fix, fasten, chain, fetter, &c. &c.	baDyate|°ti|banDayati|ababanDat|bADayati		142512
Band	भन्द्	1	Ā.	P.	Banda~\	dIptO	to be greeted with praise, receive applause, ( also = to be or make fortunate or	Bandayati	voice cp=Ā. vs attested=P.	148252
BarB	भर्भ्	1	P.	P.	BarBa~	hiMsAyAm	to hurt, injure	Barbati|BarBati		148914.1
BaRq	भण्ड्	1	Ā.	P.	BaRqa~\		to reprove	BaRqati|°qayati|kalyARe|Sive|Band	voice cp=Ā. vs attested=P.	148198
Barts	भर्त्स्	1		P. Ā.	Bartsa~^		() (really P. and once Ā. p. ,]; rarely cl. 1. ; fut.], prob. w.r.; Pass. ,), to	Bartsayate|Bartsayati|°sayamAna|Bartsati|BartsyAmi		148908
baW	बठ्	1	P.		baWa~		to be big or fat			185255.1
