code	dhatu	artha
01.2000	DA^	
01.2001	DrA	gatO
01.2002	hA	varjane
01.2003	sTA^	grahaRe
01.2004	ci	
01.2005	pi\	vfdDO
01.2006	smi\	dIptO
01.2007	anUnnI	grahaRe
01.2008	BI\	Baye
01.2009	jrI	vfdDO
01.2010	lI	
01.2011	mI	gatO
01.2012	pI\	vfdDO
01.2013	SI^	
01.2014	Ju\	
01.2015	Jyu\	
01.2016	su^	gatO
01.2017	su	preraRe
01.2018	Su	gatO
01.2019	dU	gatO
01.2020	DU	
01.2021	jU^	
01.2022	kU^	gatO
01.2023	jAgf\	
01.2024	kf^	karaRe
01.2025	mf^	
01.2026	hvF^	
01.2027	jF^	karaRe
01.2028	jF\	
01.2029	saMSyE^	
01.2030	sE	vayohAnO
01.2031	snE	saMvaraRe
01.2032	stE	
01.2033	jyo\	
01.2034	aNka~\	gatO
01.2035	cIka~	
01.2036	kaNka~\	gatO
01.2037	makka~\	gatO
01.2038	maNka~\	gatO
01.2039	SaNka~^	Baye
01.2040	SlaNka~\	gatO
01.2041	SraNka~\	gatO
01.2042	staka~	hiMsAyAm
01.2043	svaNka~\	gatO
01.2044	SvaNka~\	gatO
01.2045	taNka~	ardane
01.2046	traNka~	
01.2047	vakka~\	gatO
01.2048	vaNka~\	gatO
01.2049	vazka~\	gatO
01.2050	wOka~\	
01.2051	zazka~	gatO
01.2052	zukka~\	gatO
01.2053	iNKa~	gatO
01.2054	INKa~	gatO
01.2055	liNKa~	gatO
01.2056	maNKa~	gatO
01.2057	naNKa~	gatO
01.2058	raNKa~	gatO
01.2059	riNKa~	gatO
01.2060	SiNKa~	gatO
01.2061	traNKa~	
01.2062	triNKa~	
01.2063	vaNKa~	gatO
01.2064	aNga~	gatO
01.2065	buNga~	varjane
01.2066	iNga~^	gatO
01.2067	juNga~	
01.2068	laNga~	gatO
01.2069	liNga~	gatO
01.2070	maNga~\	gatO
01.2071	mArga~	darSane
01.2072	raNga~	gatO
01.2073	riNga~	gatO
01.2074	saga~	saMvaraRe
01.2075	SlaNga~	gatO
01.2076	SraNga~	gatO
01.2077	sTaga~	saMvaraRe
01.2078	svaNga~	gatO
01.2079	SvaNga~	gatO
01.2080	taNga~	gatO
01.2081	traNga~	
01.2082	tvaNga~	kampane
01.2083	vaNga~	gatO
01.2084	vuNga~	varjane
01.2085	yuNga~	varjane
01.2086	aNGa~\	gatO
01.2087	arGa~	
01.2088	carGa~	gatO
01.2089	daNGa~	
01.2090	laNGa~^	gatO
01.2091	maNGa~^	
01.2092	raNGa~\	
01.2093	SiNGa~	
01.2094	vaNGa~\	gatO
01.2095	jarca~	BAzAyAm
01.2096	Jarca~	
01.2097	juYca~	BAzAyAm
01.2098	Kaca~	gatO
01.2099	kaYca~\	banDane
01.2100	kAYca~\	dIptO
01.2101	maYca~\	
01.2102	muYca~^	gatO
01.2103	paYca~^	karaRe
01.2104	pfca~	saNGAte
01.2105	rica~	
01.2106	saca~^	karaRe
01.2107	SaYca~\	gatO
01.2108	snuca~\	
01.2109	stuca~\	
01.2110	SvaYca~\	
01.2111	hUrCa~	gatO
01.2112	jarCa~	
01.2113	JarCa~	
01.2114	lAYCa~	
01.2115	muCa~	
01.2116	mUrCa~	vfdDO
